Source,Target,airline,country,airline_name
GYE,UIO,2K,Ecuador,Aerolineas Galapagos (Aerogal)
OCC,UIO,2K,Ecuador,Aerolineas Galapagos (Aerogal)
SCY,GYE,2K,Ecuador,Aerolineas Galapagos (Aerogal)
UIO,BOG,2K,Ecuador,Aerolineas Galapagos (Aerogal)
UIO,GYE,2K,Ecuador,Aerolineas Galapagos (Aerogal)
UIO,OCC,2K,Ecuador,Aerolineas Galapagos (Aerogal)
BDS,ZRH,2L,Switzerland,Helvetic Airways
BOD,ZRH,2L,Switzerland,Helvetic Airways
BRS,ZRH,2L,Switzerland,Helvetic Airways
GVA,LPA,2L,Switzerland,Helvetic Airways
LCA,ZRH,2L,Switzerland,Helvetic Airways
LPA,ZRH,2L,Switzerland,Helvetic Airways
RMF,ZRH,2L,Switzerland,Helvetic Airways
TFS,GVA,2L,Switzerland,Helvetic Airways
ZRH,BDS,2L,Switzerland,Helvetic Airways
ZRH,BOD,2L,Switzerland,Helvetic Airways
ZRH,BRS,2L,Switzerland,Helvetic Airways
ZRH,LCA,2L,Switzerland,Helvetic Airways
ZRH,LPA,2L,Switzerland,Helvetic Airways
ZRH,RMF,2L,Switzerland,Helvetic Airways
AJR,LYC,2N,Sweden,NextJet
ARN,GEV,2N,Sweden,NextJet
ARN,HAD,2N,Sweden,NextJet
ARN,JKG,2N,Sweden,NextJet
ARN,KRF,2N,Sweden,NextJet
ARN,KSD,2N,Sweden,NextJet
ARN,LYC,2N,Sweden,NextJet
ARN,MHQ,2N,Sweden,NextJet
ARN,OER,2N,Sweden,NextJet
ARN,POR,2N,Sweden,NextJet
ARN,TRF,2N,Sweden,NextJet
ARN,VBY,2N,Sweden,NextJet
ARN,VHM,2N,Sweden,NextJet
ARN,VXO,2N,Sweden,NextJet
GEV,ARN,2N,Sweden,NextJet
GEV,KRF,2N,Sweden,NextJet
HAD,ARN,2N,Sweden,NextJet
HAD,JKG,2N,Sweden,NextJet
HAD,VXO,2N,Sweden,NextJet
HMV,VHM,2N,Sweden,NextJet
JKG,ARN,2N,Sweden,NextJet
JKG,HAD,2N,Sweden,NextJet
KOK,POR,2N,Sweden,NextJet
KRF,ARN,2N,Sweden,NextJet
KRF,GEV,2N,Sweden,NextJet
KSD,ARN,2N,Sweden,NextJet
LYC,AJR,2N,Sweden,NextJet
LYC,ARN,2N,Sweden,NextJet
MHQ,ARN,2N,Sweden,NextJet
MHQ,TKU,2N,Sweden,NextJet
OER,ARN,2N,Sweden,NextJet
OSL,VXO,2N,Sweden,NextJet
POR,ARN,2N,Sweden,NextJet
POR,KOK,2N,Sweden,NextJet
TKU,MHQ,2N,Sweden,NextJet
TRF,ARN,2N,Sweden,NextJet
VBY,ARN,2N,Sweden,NextJet
VHM,ARN,2N,Sweden,NextJet
VHM,HMV,2N,Sweden,NextJet
VXO,ARN,2N,Sweden,NextJet
VXO,OSL,2N,Sweden,NextJet
ADQ,AOS,2O,Sierra Leone,Air Salone
ADQ,KKB,2O,Sierra Leone,Air Salone
ADQ,KLN,2O,Sierra Leone,Air Salone
ADQ,KOZ,2O,Sierra Leone,Air Salone
ADQ,OLH,2O,Sierra Leone,Air Salone
AOS,KZB,2O,Sierra Leone,Air Salone
