id,latitude,longitude,X1,ID,airportID,airport,Label,country,IATA,ICAO,latitude.y,longitude.y,altitude,timezone,DST,TZ,type,source
BIC,57.66,-157.5800,427,BIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BID,41.1681,-71.5778,428,BID,8195,Block Island State Airport,Block Island,United States,BID,KBID,41.1680984497,-71.577796936,108,-5,A,America/New_York,airport,OurAirports
BIE,40.3017,-96.7533,429,BIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIF,31.8495,-106.3800,430,BIF,3595,Biggs Army Air Field (Fort Bliss),El Paso,United States,BIF,KBIF,31.84950066,-106.3799973,3946,-7,A,America/Denver,airport,OurAirports
BIG,63.9945,-145.7216,431,BIG,3475,Allen Army Airfield,Delta Junction,United States,BIG,PABI,63.9944992065,-145.722000122,1291,-9,A,America/Anchorage,airport,OurAirports
BIH,37.3731,-118.3636,432,BIH,11818,Eastern Sierra Regional Airport,Bishop,United States,BIH,KBIH,37.3731002808,-118.363998413,4124,NA,\N,\N,airport,OurAirports
BII,11.5225,165.5650,433,BII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIK,-1.1919,136.1100,434,BIK,3241,Frans Kaisiepo Airport,Biak,Indonesia,BIK,WABB,-1.190019965171814,136.10800170898438,46,9,N,Asia/Jayapura,airport,OurAirports
BIL,45.8077,-108.5429,435,BIL,4021,Billings Logan International Airport,Billings,United States,BIL,KBIL,45.807701110839844,-108.54299926757812,3652,-7,A,America/Denver,airport,OurAirports
BIM,25.6999,-79.2647,436,BIM,1937,South Bimini Airport,Alice Town,Bahamas,BIM,MYBS,25.6998996735,-79.2647018433,10,-5,U,America/Nassau,airport,OurAirports
BIO,43.3011,-2.9106,437,BIO,1216,Bilbao Airport,Bilbao,Spain,BIO,LEBB,43.30110168457031,-2.9106099605560303,138,1,E,Europe/Madrid,airport,OurAirports
BIQ,43.4683,-1.5311,438,BIQ,1280,Biarritz-Anglet-Bayonne Airport,Biarritz-bayonne,France,BIQ,LFBZ,43.4683333,-1.5311111,245,1,E,Europe/Paris,airport,OurAirports
BIR,26.484,87.2643,439,BIR,3129,Biratnagar Airport,Biratnagar,Nepal,BIR,VNVT,26.48150062561035,87.26399993896484,236,5.75,N,Asia/Katmandu,airport,OurAirports
BIS,46.774,-100.7467,440,BIS,4083,Bismarck Municipal Airport,Bismarck,United States,BIS,KBIS,46.772701263427734,-100.74600219726562,1661,-6,A,America/Chicago,airport,OurAirports
BIV,6.5267,21.9900,441,BIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
