"","name","Specialty_Code","hivpat","preppat","herpespat","syphpat","gonorpat","centdegree","centtrans","countIDconnections","cbetween","cclose","ceigen","lukeherpcount","lukehivcount","lukeprepcount","binaryPrep","AIDSVuCountyLevelHIVNewDiagnosesCases","ZIP","RuralUrbanFactor","X2013EstimatesMSM5YEAR","EVIDU","MARHOMO","HOMOSEX","plancount","prepcoverage","ruralsuburban"
"48862501","48862501","IM",0,0,2,0,0,4,1,0,0,1.626e-08,0.003769261,2,0,0,0,1844,90027,1,251521,1.138461538,1.4,2.123076923,247,247,2
"46441899","46441899","FM",0,0,8,0,0,8,0.6785714,0,7.9264,3.428645e-09,0.0001735122,2,0,0,0,1844,90242,1,251521,1.138461538,1.4,2.123076923,247,247,2
"12539252","12539252","IM",0,0,19,0,0,7,0.666666666666667,0,3.12531448841594,1.62600055537675e-08,0.00384291486200683,19,0,0,0,1844,91741,1,251521,1.138461538,1.4,2.123076923,247,247,2
"12423193","12423193","IM",0,0,6,0,0,2,0,0,2.12052405631281,3.07995094352696e-09,1.60244335389218e-05,6,0,0,0,1844,91316,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47809249","47809249","FM",6,5,55,0,0,59,0.3717124,0,14941.47,1.629619e-08,0.00469569,55,6,5,5,1844,91505,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10888868","10888868","IM",0,0,6,0,0,3,1,0,0,1.62599976221379e-08,0.00374951629399068,6,0,0,0,1844,91356,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10783375","10783375","FM",0,3,77,0,0,11,0.163636363636364,0,63452.8487471256,1.62780581429122e-08,0.00385811973825589,77,0,3,3,1844,90404,1,251521,1.138461538,1.4,2.123076923,247,247,2
"10942866","10942866","IM",0,0,27,0,0,12,0.363636363636364,0,44.007906230497,1.62780650322697e-08,0.00390070713128729,27,0,0,0,1844,90403,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49867116","49867116","FP",0,1,17,0,0,8,0.5357143,0,20986.41,1.626e-08,0.003820404,17,0,1,1,1844,91325,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47391807","47391807","IM",50,5,9,0,0,13,0.5,3,34.9447,1.635074e-08,0.003960969,9,50,5,5,1844,90048,1,251521,1.138461538,1.4,2.123076923,247,247,2
"49254568","49254568","FP",0,0,4,0,0,21,0.2428571,0,124353.8,3.908646e-09,0.0002345917,4,0,0,0,1844,90805,1,251521,1.138461538,1.4,2.123076923,247,247,2
"44023858","44023858","IM",0,1,22,0,0,13,0.3846154,0,40453.99,1.627808e-08,0.003887347,22,0,1,1,1844,91024,1,251521,1.138461538,1.4,2.123076923,247,247,2
"47652753","47652753","FP",1,0,18,0,0,26,0.3876923,0,36172.23,4.050127e-09,0.0004617982,18,1,0,0,1844,90057,1,251521,1.138461538,1.4,2.123076923,247,247,2
"24631553","24631553","IM",1,0,72,0,0,31,0.2946237,0,34132.72,1.640565e-08,0.004976054,72,1,0,0,1844,91105,1,251521,1.138461538,1.4,2.123076923,247,247,2
"11313215","11313215","IM",0,0,16,0,0,17,0.455882352941176,0,13461.4256363743,1.63144368866547e-08,0.0041041169001484,16,0,0,0,1844,91208,1,251521,1.138461538,1.4,2.123076923,247,247,2
"12144300","12144300","IM",0,0,18,0,0,10,0.4,0,12208.3043919663,1.62600140141809e-08,0.00385692181796791,18,0,0,0,1844,91208,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48999285","48999285","FP",0,0,1,0,0,18,0.3594771,0,46.58504,1.627807e-08,0.003996913,1,0,0,0,1844,91105,1,251521,1.138461538,1.4,2.123076923,247,247,2
"43646586","43646586","FP",0,0,58,0,0,72,0.1799687,1,55364.72,1.689759e-08,0.00660514,58,0,0,0,1844,91344,1,251521,1.138461538,1.4,2.123076923,247,247,2
"37509117","37509117","IM",0,0,6,0,0,1,0,0,0,3.056826e-09,1.399663e-05,6,0,0,0,1844,91007,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48753397","48753397","FP",0,0,46,0,0,49,0.2032313,0,99814.4,1.627808e-08,0.004449401,46,0,0,0,1844,91307,1,251521,1.138461538,1.4,2.123076923,247,247,2
"48519486","48519486","FM",0,1,29,0,0,94,0.6259437,0,16937.46,1.626008e-08,0.005997602,29,0,1,1,353,90638,1,62190,1.461538462,1.538461538,1.884615385,654,654,2
"48908403","48908403","FP",1,0,1,0,0,11,0.7272727,0,211.7189,1.636903e-08,0.004687271,1,1,0,0,1844,91010,1,251521,1.138461538,1.4,2.123076923,247,247,2
