"","from","to","weight"
"215","10746360","11160927",4
"216","10746360","46587740",4
"217","10746429","11145377",5
"218","10746429","48337144",7
"219","10746429","27584530",3
"220","10746429","48431467",4
"221","10746468","38335780",3
"222","10746468","31066298",6
"223","10746468","12210962",3
"224","10746498","43516987",4
"225","10746498","46871949",4
"226","10746498","10818875",3
"227","10746606","43516022",4
"228","10746606","14404233",3
"229","10746634","11166014",3
"230","10746634","10947551",6
"231","10746677","46871949",3
"232","10746931","10749914",16
"233","10746931","31032683",25
"234","10746931","10772012",5
"235","10746931","14584375",4
"236","10746931","10747088",23
"237","10746931","46164947",27
"238","10746931","12164004",5
"239","10746931","47394097",3
"240","10746931","10759357",3
"241","10746931","43537849",5
"242","10746931","45057881",4
"243","10746931","11195879",4
"244","10746931","48385030",4
"245","10746971","46486900",6
"246","10746971","11231602",9
"247","10746971","11325371",4
"248","10746971","40150331",3
"249","10746971","11182220",7
"250","10746971","37519365",4
"251","10746971","10750744",4
"252","10747088","46164947",21
"253","10747088","10926698",3
"254","10747088","38351856",3
"255","10747088","43537849",3
"256","10747088","45057881",6
"257","10747088","10749914",4
"258","10747088","12164004",4
"259","10747088","31032683",13
"260","10747165","11195423",16
"261","10747165","40161693",31
"262","10747165","12131399",19
"263","10747165","48681252",28
"264","10747165","42888271",23
"265","10747165","49769516",9
"266","10747165","12165105",11
"267","10747165","37746340",4
"268","10747165","46888156",8
"269","10747165","10759624",9
"270","10747165","31005495",3
"271","10747191","31028545",7
"272","10747335","48862501",17
"273","10747335","12197178",17
"274","10747335","48014893",4
"275","10747335","46441899",3
"276","10747335","10749956",3
"277","10747409","13060531",9
"278","10747409","27638515",27
"279","10747409","24642312",11
"280","10747409","11163489",12
"281","10747488","11199038",4
"282","10747488","48802273",5
"283","10747488","12539252",3
"284","10747488","10765272",3
"285","10748234","10843138",3
"286","10748234","13035954",8
"287","10748234","34323552",3
"288","10748234","47918377",4
"289","10748234","39519373",6
"290","10748286","10876957",3
"291","10748286","13037236",4
"292","10748286","12423584",3
"293","10748473","44208154",4
"294","10748578","10806248",3
"295","10748798","12423193",3
"296","10748888","48414763",3
"297","10748888","47375557",13
"298","10748888","10759103",6
"299","10748888","23925349",9
"300","10748888","46893729",17
"301","10748888","12163274",19
"302","10748888","40268014",3
"303","10748888","47809249",7
"304","10748888","11273790",10
"305","10748888","12430940",7
"306","10748888","46877784",3
"307","10748888","44664904",3
"308","10748888","10874012",11
"309","10748888","22343589",9
"310","10748888","46875515",3
"311","10748888","47384238",6
"312","10748888","13035974",4
"313","10748975","43516095",4
"314","10748975","41586412",3
"315","10748985","12418618",18
"316","10748985","10750724",5
"317","10748985","31007180",4
"318","10748985","10888868",5
"319","10749001","10783375",3
"320","10749001","10942866",3
"321","10749017","49867116",45
"322","10749017","12430940",3
"323","10749017","47818719",3
"324","10749017","47391807",3
"325","10749023","27593377",28
"326","10749023","38336121",24
"327","10749023","11145966",3
"328","10749023","12073172",26
"329","10749023","43539278",35
"330","10749023","19795394",13
"331","10749023","49254568",6
"332","10749023","11210245",4
"333","10749023","38336422",3
"334","10749023","48337174",5
"335","10749023","12418131",3
"336","10749023","44023858",9
"337","10749023","12165967",3
"338","10749023","47918244",4
"339","10749023","37510116",5
"340","10749023","11173745",4
"341","10749023","11256680",4
"342","10749023","42078536",5
"343","10749023","44258729",4
"344","10749023","47204614",3
"345","10749023","47652753",3
"346","10749185","14636284",3
"347","10749185","38335701",10
"348","10749185","48141886",11
"349","10749185","11334420",3
"350","10749185","12237135",4
"351","10749185","10829079",7
"352","10749185","31006101",6
"353","10749185","36749641",6
"354","10749185","43843464",6
