BvD,name,ISO,NACE,revenue,employees,city,ROE,ind.NAICS,logrev
CN48223PC,SHANGHAI JINYUAN GOLD JEWELLERY COMPANY LIMITED,CN,4719,13141.10647,47,SHANGHAI,-167.181,47,4.118631934
CN45101PC,ZHANGJIAKOU TIMES RUBBER PRODUCTS COMPANY LIMITED,CN,2017,13140.26036,268,ZHANGJIAKOU,23.419,20,4.11860397
CN41264PC,SUZHOU LONGYUAN ELECTRIC TECHNOLOGY COMPANY LIMITED,CN,2790,13136.10979,101,SUZHOU,6.502,27,4.11846677
CN47181PC,BEIJING ZHIYUNDA TECHNOLOGY COMPANY LIMITED,CN,7490,13134.24816,239,BEIJING,2.732,74,4.118405218
CN45806PC,STARMEET LIGHTING TECHNOLOGY COMPANY LIMITED,CN,2740,13131.94878,310,DONGGUAN,9.821,27,4.11832918
CN9401005206,"SHANGHAI HOPE ELECTRIC MOTOR& CONTROL CO., LTD.",CN,2790,13131.02734,NA,NA,-7.352,27,4.118298706
CN45515PC,SU ZHOU KINKALTECK MACHINERY TECHNOLOGY COMPANY LIMITED,CN,2849,13127.9559,130,ZHANGJIAGANG,24.294,28,4.118197109
CN47475PC,ZHEJIANG JOLAN ENERGY-SAVING TECHNOLOGY COMPANY LIMITED,CN,7490,13127.23617,100,HANGZHOU,26.45,74,4.118173299
CN47223PC,TIANJIN TIANGE COMMUNICATION TECHNOLOGY COMPANY LIMITED,CN,2630,13125.34518,96,TIANJIN,33.417,26,4.118110734
CN43722PC,JIANGSU VINSEN BONDED WAREHOUSE COMPANY LIMITED,CN,5210,13122.94248,71,XINPU,12.409,52,4.118031225
CN41957PC,JINAN TIANCHEN ALUMINUM MACHINERY COMPANY LIMITED,CN,3299,13122.86628,249,JINAN,9.039,32,4.118028704
CN9367157189,"GUANGZHOU RISEN MACHINERY CO., LTD.",CN,2829,13122.42731,NA,GUANGZHOU,5.201,28,4.118014176
CN40099PC,RAYSPOWER ENERGY GROUP COMPANY LIMITED,CN,2815,13108.7119,129,BEIJING,NA,28,4.117560019
CN45606PC,"SICHUAN JINTOU TECHNOLGOY CO., LTD.",CN,6619,13093.17291,60,NA,NA,66,4.117044903
CN48821PC,ZHEJIANG JIEBAO MACHINERY COMPANY LIMITED,CN,2829,13089.88803,232,NA,-17.411,28,4.116935932
CN53254PC,FUJIAN GUOZI REHABILITATION MEDICAL COMPANY LIMITED,CN,3250,13087.87736,107,NA,3.966,32,4.116869217
CN46613PC,SICHUAN MINGCHI GEAR MANUFACTRUING CORPORATION LIMITED,CN,2932,13083.7268,261,NA,4.818,29,4.116731467
CN45018PC,WUHAN JINPAI ELETRICAL COMPANY LIMITED,CN,2434,13079.14686,119,HUBEI,-5.946,24,4.116579416
CN47920PC,ZIBO HUAMIAN GARMENT COMPANY LIMITED,CN,1419,13077.28627,304,ZIBO,3.687,14,4.116517631
CN49909PC,CENSOFT,CN,4741,13077.00002,142,BEIJING,13.101,47,4.116508124
CN47309PC,XI'AN JIZHONG INTELLIGENT TECHNOLOGY COMPANY LIMITED,CN,6209,13076.60917,199,NA,3.096,62,4.116495144
